SIDE	#CELLS	3.array_bool	3.array_bool_phi	4.vector_bool	4.vector_bool_phi	5.array_bitset	5.array_bitset_phi	6.dynamic_bitset	6.dynamic_bitset_phi
100	10000	4015	51532	39847	149488	29594	104892	38729	148508
200	40000	36872	206367	115641	589351	82487	419921	110824	585732
300	90000	71093	464304	161672	1318160	130167	785645	171617	1309375
400	160000	118062	831028	268558	2337314	206770	1466051	257802	2321818
500	250000	126079	1306169	417231	3646190	254955	2094062	402905	3622710
600	360000	167159	1895019	598276	5245059	378195	3138781	578708	5211007
700	490000	236739	2583820	813027	7216620	486067	4094125	787187	7086519
800	640000	276997	3377001	1061033	9311510	655997	5438228	1027905	9250585
900	810000	357906	4283857	1345897	11779454	851153	7057274	1303212	11702550
1000	1000000	430597	5293259	1665932	14539129	1011136	8363243	1610832	14443704
