XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	1113947	15902	0	0	61601927
1	1106623	17320	5151	9	61590612
2	1297555	17067	5416	309505	31176667
3	1117444	15856	5456	463842	20940458
4	1058810	14723	5662	938971	16400594
5	1058100	16020	5830	483909	13222339
6	1057092	14919	5616	1192611	11889502
7	1057510	16367	6126	446347	10250570
8	1057510	14466	6228	397192	8987614
9	1058004	16381	6409	312190	7944047
10	1058289	15878	6584	432572	7341718
11	1058243	16558	6860	390217	6665695
12	1058100	16873	6810	665203	6430865
13	1058333	16261	6789	433567	5939865
14	1058395	18074	7191	353424	5471859
15	1093902	18296	7327	333912	5178124
16	1144809	18077	7209	5538359	10247691

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	9054929	436304	0	0	646734024
1	9674141	442922	1053	325	724677952
10	9057749	410489	3777	984937	57941759
20	9055470	415584	6919	216170	27744505
30	9055654	420067	10152	305771	19328722
40	9480882	425965	13715	783872	15317575
50	9160831	435663	17039	401211	11827406
60	9057199	434752	20914	1155919	11031609
70	9057041	438396	24527	984241	9371404
80	9057069	443640	28828	1880732	9354843
90	9057556	445560	33485	1345197	7974573
100	9056632	448766	37462	1414279	7560868
110	9056174	447266	43357	1659815	7587483
120	9056573	460884	48031	3307557	8879994
130	9055589	457329	52293	3567609	8726365
140	9055890	472778	58135	3640474	8578682
150	9056078	475679	63869	3187030	7738560
160	9056704	475696	71855	3030854	7373102
170	9058691	483253	78233	3483154	8302186
180	9058293	481614	82539	7282170	11942928
190	9062428	480608	89316	5976080	10426634
200	9058900	498627	96918	8258112	12518436
210	9058480	485564	104234	10110204	14093842
220	9057743	554053	111489	11687992	15610657
230	9066859	524279	116757	11736393	15616407
240	9061916	563354	125468	11981498	15707204
