XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	296794	16845	0	0	16758867
1	281812	15026	63	6	17047443
2	333866	8888	83	152146	8348157
3	414239	9004	116	121174	5729677
4	492583	9038	482	202147	4328286
5	333756	8729	1287	129407	3483295
6	307765	9267	1266	280087	3179581
7	270553	9069	1693	305220	2753223
8	289331	9472	2230	444993	2689694
9	307861	9188	2638	357025	2353913
10	295792	9502	2776	705070	2494236
11	396310	9849	3705	831386	2468793
12	445133	9479	4222	1848156	3309717
13	474454	10244	5245	2097853	3445055
14	434893	9038	5573	2088002	3360019
15	292902	9892	4386	2045955	3241175
16	296379	9912	11092	1858036	2991923

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	2268100	200161	0	0	129791379
1	2268317	199860	585	326	129789601
10	2268199	207676	15292	35095	13199700
20	2268210	216789	25717	42017	6745795
30	2268269	225770	32553	46720	4606943
40	2268059	237588	40556	53067	3552991
50	2268233	249047	48161	61249	3007940
60	2268344	276748	53040	314222	2785574
70	2268342	278448	57164	475880	2713503
80	2268272	277888	63471	365969	2291563
90	2268314	286190	64387	355217	2113991
100	2268394	278695	72917	355301	1961959
110	2268137	280170	75539	340388	1833009
120	2268219	292593	76595	516198	2044578
130	2268253	292421	83793	621884	2078223
140	2268403	292457	89661	692637	2079453
150	2268745	288850	91668	767643	2080055
160	2268247	291283	95857	822022	2064145
170	2268067	290326	100681	798110	1987288
180	2268762	293739	113518	660652	2000174
190	2268705	306580	118024	878927	2242530
200	2268427	306602	124125	931181	2255126
210	2269074	304953	136405	923491	2208457
220	2268828	305625	139716	911039	2163643
230	2268536	307128	141071	954125	2169208
240	2268592	289335	154423	5029755	6173390
