XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	29082	5889	0	0	5736860
1	13864	10258	3578	8	5314384
2	14201	7587	3838	11825	2651904
3	14443	7574	3737	44947	1802536
4	14528	7557	3781	84439	1435594
5	14509	7634	3904	45617	1145604
6	14535	7807	4099	131566	1115639
7	14567	6762	4201	263595	1125663
8	14671	6888	4353	265755	1078588
9	14661	6821	4436	252762	998084
10	14841	6800	4578	231798	912761
11	14711	6769	4695	225013	879067
12	14979	6963	4981	260387	851893
13	15110	7109	4958	249627	811265
14	14882	7765	4941	388984	915295
15	14761	8065	5282	401056	902642
16	14680	8110	5287	1926238	2416512

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	92648	205275	0	0	17777416
1	98124	207416	1191	213	17881432
10	93629	215816	3627	679870	2972916
20	93498	225064	6713	475197	1613489
30	93628	228861	10006	304942	1154297
40	93802	243410	13460	338562	1114461
50	103685	247197	17047	266370	997225
60	96934	251146	20871	275966	912711
70	104444	250704	24917	266937	901665
80	105512	253616	29542	262136	851261
90	101287	259218	34286	265475	831300
100	105793	259891	38967	244572	804085
110	103327	261040	45240	250867	794010
120	99243	265771	51364	400210	911174
130	109521	278590	58910	209122	777766
140	104633	267143	63329	437409	996602
150	111386	256471	69882	1400073	1918792
160	97939	264612	75790	1303377	1854374
170	96191	258387	81577	1683427	2218067
180	96466	254184	87783	2069892	2593245
190	108009	253324	95330	2338008	2852734
200	102394	249642	101566	2798502	3354756
210	108417	248498	115115	3252399	3839786
220	96486	249576	123598	3430895	3985675
230	107389	247022	143637	3427608	4000136
240	100520	248114	137763	3345170	3906842
