XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	113809	12626	0	0	21668139
1	56550	16419	71	1	21626825
2	57208	13238	89	259885	11113912
3	56785	14425	96	166774	7366557
4	56832	16085	118	124944	5541734
5	57128	16251	141	449400	4952018
6	57083	16506	1008	430629	4023810
7	56805	16571	2487	375826	3459056
8	56819	17043	3236	475067	3396888
9	57199	17000	4244	220780	2704581
10	57722	16957	5371	289245	2612182
11	57759	17356	6373	310131	2535305
12	57739	17361	7158	205062	2205014
13	57474	17261	8267	2126607	3967055
14	57526	17214	9064	2149336	3872246
15	56824	17374	9614	2131817	3766566
16	57128	17338	11944	2141707	3664100

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	357986	406482	0	0	71595182
1	359380	411835	538	323	72320962
10	359878	424409	28195	424003	8347765
20	360301	436402	70848	1302663	5482703
30	366651	451438	99834	1304465	4424533
40	373079	458336	130198	1462583	4098320
50	386283	464463	144778	1297274	3400881
60	380115	478176	158990	1236497	3221588
70	377629	492349	184759	1224565	3066636
80	371761	524411	206850	1405875	3047333
90	370304	539418	224197	1577952	3220826
100	377295	562170	240999	1728744	3300752
110	378017	714552	282771	4758019	6403496
120	384029	759377	303431	4613491	6216962
130	386231	923648	313281	4627073	6219992
140	418311	842700	388058	4517179	6097610
150	371858	827386	446901	4980090	6455283
160	372992	860658	451802	4317167	5788204
170	380506	787960	450859	4764701	6191139
180	374791	672467	496321	5563536	6809306
190	369699	651402	586789	5652393	6857696
200	394597	625494	677967	6039301	7171052
210	392885	638251	640267	5717289	6901506
220	385163	613327	655569	5692304	6847753
230	375686	621127	717488	5800258	6990628
240	381826	603074	740356	5952229	7032881
