TEST: SEED: 1456076939, SIDE: 5000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: false, FF:true, OUTPUT_FILE:16-02-21/perf_ff_25M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	792558	5884	0	0	18246084
1	538541	14943	4361	18	19563649
2	540069	12552	4650	166775	8579238
3	572229	16007	15107	275417	11044095
4	526509	13269	4011	209188	4799213
5	547720	11342	4254	272444	4633186
6	656303	17345	26784	614000	7345486
7	682521	15093	5313	795636	4173852
8	786375	10908	4447	664978	3286621
9	806508	18311	8209	672729	3546769
10	756256	9829	28603	581364	4838643
11	742235	10196	16130	430664	3621560
12	770996	9401	6070	649194	2710739
13	708777	11415	5003	389726	2473957
14	680993	10873	5629	623827	2652786
15	606511	17838	29777	1857923	4574909
16	676033	10351	30930	2308234	5057165

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	4325010	200843	0	0	134625995
1	4325024	204543	1131	529	129842034
10	4324944	212831	3828	9197693	13005687
20	4325090	220541	6943	4934555	7424567
30	4324805	228861	10197	3123191	4905987
40	4324903	237246	13542	2122868	3860207
50	4325061	245444	17041	1830959	2961695
60	4325016	252177	20771	1442535	2473023
70	4324906	251846	24485	1199723	2196501
80	4325481	251830	28424	1111914	2006467
90	4324358	259381	32997	1017772	1877554
100	4324776	261318	37745	837793	1767629
110	4324722	261332	42580	769320	1669863
120	4324831	265273	47969	705801	1692996
130	4324865	267545	52510	933377	1769809
140	4324792	265250	58540	970689	1866211
150	4325085	272683	63719	944257	1788643
160	4325163	275219	69450	730933	1740703
170	4325029	276324	76506	774170	1745085
180	4325687	276781	80597	813251	1826596
190	4325335	288556	87108	945023	1878372
200	4325051	289006	94234	976571	1910875
210	4325348	289272	100577	977406	1862880
220	4325573	291012	110354	947747	1869918
230	4325598	292697	115712	939316	1848633
240	4324556	293069	122515	887304	1941595
