TEST: SEED: 1456076939, SIDE: 5000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: false, FF:false, OUTPUT_FILE:16-02-21/perf_thread_25M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	867687	5739	0	0	16675225
1	865267	10070	43	5577	17017433
2	991134	7569	78	5957	8913073
3	932717	7649	108	5975	6134532
4	512322	7672	137	6578	4869716
5	509878	7756	160	6843	4122165
6	509536	7479	154	7331	3518273
7	509353	7346	182	7361	3063414
8	509341	7356	217	7444	2742993
9	509674	7514	241	8007	2513568
10	509844	7491	259	8222	2368109
11	510724	7432	284	8307	2182905
12	510445	7538	311	8757	2043659
13	510180	7489	328	453807	2419718
14	509052	8309	481	478783	2325110
15	510393	7640	381	654832	2476891
16	581011	7563	407	714598	2502657

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	4325185	200398	0	0	134643820
1	4325222	205443	579	134374850	134590676
10	4324690	212222	3081	27228982	40167147
20	4324793	219056	5968	3303915	10104465
30	4325968	228090	8913	540140	5268680
40	4324666	236920	12044	4494402	8121591
50	4324756	246119	15247	5647894	8947938
60	4325014	279611	18687	7095943	10017243
70	4325280	278779	22495	3896658	6125232
80	4325104	276563	26646	5584838	7707012
90	4325127	276106	32472	641150	2481540
100	4325431	276493	36683	754546	2464743
110	4325061	278804	41788	581710	2150262
120	4325361	284415	44472	1532000	3132647
130	4325246	292023	48731	2232551	3805249
140	4324956	293098	54365	1003655	2469901
150	4325235	293601	60001	983159	2422950
160	4325202	295519	66620	980075	2338624
170	4325625	294994	71185	905984	2239193
180	4325697	308982	76717	817173	2345957
190	4325805	312157	84800	941023	2469915
200	4325869	307996	89692	988399	2490865
210	4325913	308787	97215	991878	2472927
220	4326338	307893	104763	963048	2418912
230	4325172	308410	112689	1042560	2440039
240	4324989	353780	122863	2700813	4193957
