TEST: SEED: 1456076939, SIDE: 10000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: true, FF:true, OUTPUT_FILE:16-02-21/perf_vect_ff_100M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	1482919	12472	0	0	21292670
1	1246100	23036	3797	14	21513360
2	1344139	19758	3961	4549197	20401958
3	1123217	19523	4157	3652294	12448367
4	1105893	19172	4279	2964855	10826585
5	1088427	19099	4526	1881870	8511959
6	1059461	19447	4602	4457874	8802923
7	1060769	18105	4356	4199504	8477745
8	1060270	18719	4639	3434769	7276315
9	1058989	18552	4796	2846300	6260340
10	1058173	19578	5061	2442271	5970058
11	1063679	17666	5467	3671501	6722971
12	1062431	25089	5100	1805729	5232941
13	1068075	19840	5351	1875734	4808985
14	1070046	19534	5403	2383627	5197393
15	1060421	19018	5681	1330846	4136931
16	1100550	21808	6249	2836096	5166583

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	8959534	399439	0	0	71231077
1	8962176	406794	1124	556	71480988
10	8962014	417072	3759	5355214	8295578
20	8960797	421179	6892	2384151	4115050
30	8960103	426734	10134	1459964	2719654
40	8960084	431162	13545	1163934	2060226
50	8961088	436548	17113	914728	1768809
60	8960548	442433	20817	749623	1644462
70	8959845	441011	24458	737292	2187280
80	8959760	447176	28729	604923	1993280
90	8959534	449831	33330	533566	1837057
100	8959943	454085	38100	380006	1653796
110	8959686	454083	43150	389627	1613402
120	8960154	457716	48141	420925	1545833
130	8960756	457736	52913	483541	1518792
140	8961561	476246	58271	579104	1486860
150	8961530	480763	63757	457331	1509149
160	8961709	481943	69314	406181	1429773
170	8960779	481868	76833	465716	1404885
180	8961092	487286	80932	437087	1397432
190	8961391	491712	90634	498600	1492703
200	8960744	503207	97503	482757	1478309
210	8960195	507068	102697	498798	1484354
220	8960227	514071	109737	494121	1634720
230	8960862	512640	121563	781957	2076750
240	8962199	533053	125918	860548	2236938
