TEST: SEED: 1456076939, SIDE: 10000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: true, FF:false, OUTPUT_FILE:16-02-21/perf_vect_thread_100M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	1539997	12786	0	0	21392316
1	1059855	15591	76	805	21968966
2	1059413	15591	99	846	11556529
3	1059207	14627	116	1534	7908385
4	1060158	14585	139	1796	6357421
5	1059638	14683	163	1937	5393902
6	1059559	14637	1194	2175	4765646
7	1060017	13422	2132	2223	4108744
8	1060503	13410	1911	2266	3740426
9	1060000	13878	1959	2453	3462727
10	1060413	13780	2856	2676	3272314
11	1060325	13738	2774	2705	3019323
12	1059964	13762	3035	2757	2818530
13	1058822	13833	3617	271801	3059453
14	1058974	14166	3780	481587	3176055
15	1058139	14101	3699	682896	3213563
16	1059117	14194	3770	744252	3278729

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	8961090	398522	0	0	71229831
1	8961098	408463	583	71684074	72094788
10	8961827	412911	11599	5594982	13100625
20	8961368	418073	24881	420022	4431383
30	8961373	423062	36855	102966	2948659
40	8961123	428452	53838	292543	2626858
50	8961354	434478	66337	264594	2239182
60	8961675	457302	81368	439846	2270391
70	8961612	462003	91687	551170	2215647
80	8962832	467616	101476	516142	2030427
90	8961799	467094	113965	510839	1988006
100	8961414	467433	125987	393575	1771349
110	8962132	467455	138291	376952	1737931
120	8962241	500383	150388	3036250	4426131
130	8961867	501956	167750	692772	2073184
140	8961619	504213	181138	610805	1970676
150	8961703	504412	196202	553340	1899409
160	8961644	505311	210281	523066	1867377
170	8961785	504937	227267	615818	1955528
180	8961993	534285	246204	584820	2052588
190	8961829	534662	263016	633180	2143244
200	8963080	539381	283075	606372	2115839
210	8961685	537521	303356	579789	2086264
220	8961786	539301	325194	574618	2091902
230	8962514	540272	347157	560484	2086143
240	8961229	547608	365455	2173052	4006330
